link,title,review,price,installment,cluster,date
https://www.magazineluiza.com.br/fone-bluetooth-infantil-mario-fon131-generica/p/jh1cb89580/ea/hdga/,Fone Bluetooth Infantil Mario - FON131,,67.5,,Fone Bluetooth Infantil Mario - FON131,2024-11-25T22:03:51.093240
https://www.magazineluiza.com.br/fone-bluetooth-i12/p/jcaa83a4g2/ea/fobt/,Fone bluetooth i12,,69.9,,Fone bluetooth i12,2024-11-25T22:03:51.093240
https://www.magazineluiza.com.br/fone-bluetooth-buds-3-lite/p/hfe4905j66/ea/fobt/,Fone Bluetooth Buds 3 Lite,,84.92,"{'total_amount': 99.9, 'amount_per_installment': 49.95}",Fone Bluetooth Buds 3 Lite,2024-11-25T22:03:51.093240
https://www.magazineluiza.com.br/fone-bluetooth-p9-rp9-rhos/p/hdbhd0gghg/ea/hebh/,Fone bluetooth P9 RP9,,50.92,,Fone bluetooth fio P9 RP9,2024-11-25T22:03:51.093240
https://www.magazineluiza.com.br/fone-bluetooth-kaidi-tws-kd-795-urbanears/p/ed4d928c1e/ea/eafn/,Fone bluetooth Kaidi TWS KD-795,,94.9,"{'total_amount': 94.9, 'amount_per_installment': 47.45}",Fone bluetooth Kaidi TWS KD-795,2024-11-25T22:03:51.093240
https://www.magazineluiza.com.br/fone-bluetooth-tws-para-celular-notebook/p/gbcdgd789h/ea/eafn/,Fone Bluetooth TWS Para Celular Notebook,,39.9,,Fone Bluetooth TWS Para Celular Notebook,2024-11-25T22:03:51.093240
https://www.magazineluiza.com.br/fone-bluetooth-kaidi-kd-770/p/jdeggbed7e/ea/fobt/,Fone Bluetooth Kaidi KD -770,,72.9,"{'total_amount': 72.9, 'amount_per_installment': 36.45}",Fone Bluetooth Kaidi KD - 7016,2024-11-25T22:03:51.093240
https://www.magazineluiza.com.br/fone-de-ouvido-sem-fio-e6s-bluetooth-original-para-celular-notebook-tws/p/dk00h325k9/ea/fobt/,Fone de Ouvido Sem Fio E6s Bluetooth Original Para Celular Notebook,4.0,26.99,,Fone de Ouvido Sem Fio E6s Bluetooth Original Para Celular Notebook,2024-11-25T22:03:51.093240
https://www.magazineluiza.com.br/fone-de-ouvido-bluetooth-sem-fio-earcuffs-esportivo-brinco-onyon/p/gj58g30e24/ea/fobt/,Fone De Ouvido Bluetooth Sem Fio Earcuffs Esportivo Brinco,4.2,60.63,,Fone De Ouvido Bluetooth Sem Fio Earcuffs Esportivo Brinco,2024-11-25T22:03:51.093240
https://www.magazineluiza.com.br/fone-bluetooth-compativel-com-samsung-todos-fn-b08-rhos/p/ba49ad6j7e/ea/fobt/,Fone Bluetooth Compatível com samsung todos FN-B08,,110.32,"{'total_amount': 129.79, 'amount_per_installment': 64.9}",Fone Bluetooth Compatível com samsung todos FN-B08,2024-11-25T22:03:51.093240
https://www.magazineluiza.com.br/fone-bluetooth-kaidi-5-1-kd-790/p/fjdgc31h15/ea/fobt/,Fone Bluetooth Kaidi 5.1 KD-790,,65.99,"{'total_amount': 65.99, 'amount_per_installment': 33.0}",Fone Bluetooth Kaidi 5.1 KD-790,2024-11-25T22:03:51.093240
https://www.magazineluiza.com.br/fone-bluetooth-para-pratica-de-ioga-zonne/p/ecjjdb60g6/ea/fobt/,Fone Bluetooth Para Prática De Ioga,,98.63,"{'total_amount': 112.08, 'amount_per_installment': 56.04}",Fone Bluetooth Para Prática De Ioga,2024-11-25T22:03:51.093240
https://www.magazineluiza.com.br/fone-bluetooth-conducao-ossea-esportivo-para-ciclista-sport-a-gold/p/gk9e8fbfg4/ea/fobt/,Fone Bluetooth Condução Ossea Esportivo Para Ciclista Sport,,87.91,"{'total_amount': 99.9, 'amount_per_installment': 49.95}",Fone Bluetooth Condução Ossea Esportivo Para Ciclista Sport,2024-11-25T22:03:51.093240
https://www.magazineluiza.com.br/fone-bluetooth-lenovo-xt60-esportes-original-bluetooth/p/jf8a8h4567/ea/fobt/,Fone Bluetooth Lenovo Xt60 Esportes Original Bluetooth,,129.9,"{'total_amount': 129.9, 'amount_per_installment': 64.95}",Fone Bluetooth Lenovo Xt60 Esportes Original Bluetooth,2024-11-25T22:03:51.093240
https://www.magazineluiza.com.br/fone-bluetooth-redmi-buds-4-active-xiaomi-preto/p/hb08885b25/ea/fobt/,Fone bluetooth redmi buds 4 active xiaomi preto,3.2,249.99,"{'total_amount': 249.99, 'amount_per_installment': 50.0}",Fone bluetooth redmi buds 4 active xiaomi preto,2024-11-25T22:03:51.093240
https://www.magazineluiza.com.br/fone-bluetooth-solarwave-sync-tws/p/dg791b67gd/ea/fngm/,Fone Bluetooth SolarWave Sync,,67.15,,Fone Bluetooth SolarWave Sync,2024-11-25T22:03:51.093240
https://www.magazineluiza.com.br/fone-bluetooth-branco-caixinha-para-samsung-s20-lxl/p/achehekj66/ea/fobt/,Fone Bluetooth Branco Caixinha Para Samsung S20,,84.14,"{'total_amount': 95.61, 'amount_per_installment': 47.81}",Fone Bluetooth Branco Caixinha Para Samsung S20,2024-11-25T22:03:51.093240
https://www.magazineluiza.com.br/fone-bluetooth-sem-fio-inova-inove/p/kb2a2k5bcc/ea/fobt/,Fone Bluetooth sem fio Inova,,68.0,,Fone Bluetooth sem fio Inova,2024-11-25T22:03:51.093240
https://www.magazineluiza.com.br/fone-bluetooth-y50-tws/p/jjgh9f5gg4/ea/eafn/,Fone Bluetooth Y50,,47.64,,Fone Bluetooth Y50,2024-11-25T22:03:51.093240
https://www.magazineluiza.com.br/fone-bluetooth-510-bass-headphone/p/ke6k9373e6/ea/hebl/,Fone Bluetooth 510 Bass,5.0,129.99,"{'total_amount': 129.99, 'amount_per_installment': 65.0}",Fone Bluetooth 510 Bass,2024-11-25T22:03:51.093240
https://www.magazineluiza.com.br/fone-bluetooth-arco-abafador-cancelamento-de-ruido-prata-al/p/fk22fhbj9k/ea/fobt/,Fone Bluetooth Arco Abafador Cancelamento De Ruido - Prata,,100.75,"{'total_amount': 114.49, 'amount_per_installment': 57.25}",Fone Bluetooth Arco Abafador Cancelamento De Ruido - Prata,2024-11-25T22:03:51.093240
https://www.magazineluiza.com.br/fone-bluetooth-ka-913/p/ff5f32911c/ea/fobt/,Fone bluetooth KA-913,,91.15,"{'total_amount': 91.15, 'amount_per_installment': 45.58}",Fone bluetooth KA-913,2024-11-25T22:03:51.093240
https://www.magazineluiza.com.br/fone-bluetooth-wireless/p/fh46e94fbd/ea/focf/,Fone bluetooth,,77.0,,Fone Bluetooth,2024-11-25T22:03:51.093240
https://www.magazineluiza.com.br/fone-bluetooth-908-kaidi-esportes-alinee/p/gg9766ba08/ea/fobt/,Fone Bluetooth 908 Kaidi Esportes,,73.4,,Fone Bluetooth 908 Kaidi Esportes,2024-11-25T22:03:51.093240
https://www.magazineluiza.com.br/fone-bluetooth-mono-auricular-individual-5-0-flex/p/bj9091j952/ea/fobt/,Fone Bluetooth Mono Auricular Individual 5.0,,41.32,,Fone Bluetooth Mono Auricular Individual 5.0,2024-11-25T22:03:51.093240
https://www.magazineluiza.com.br/fone-bluetooth-agold-fn-bt10/p/gkbg1kfjh3/ea/fobt/,Fone Bluetooth Agold FN-BT10,,66.23,,Fone Bluetooth Agold FN-BT10,2024-11-25T22:03:51.093240
https://www.magazineluiza.com.br/fone-bluetooth-tws-conducao-ossea-5-3-it-blue/p/fjbga55ba1/ea/fobt/,Fone Bluetooth TWS Condução Óssea 5.3,,97.18,"{'total_amount': 110.43, 'amount_per_installment': 55.22}",Fone Bluetooth TWS Condução Óssea 5.3,2024-11-25T22:03:51.093240
https://produto.mercadolivre.com.br/MLB-3692026540-maquina-de-lavar-11kg-midea-heathguard-branca-conectada-_JM?variation=178494993635#reco_item_pos=2&reco_backend=ranker_retrieval_system_vpp_v2p&reco_backend_type=low_level&reco_client=pdp-v2p&reco_id=f4d484fa-cf14-42ee-89e0-7b3a8fcced0b&reco_model=ranker_entity_v2,Máquina De Lavar 11kg Midea Heathguard Branca Conectada,4.5,2946.33,"{'total_amount': 279.9, 'amount_per_installment': 279.9}",Máquina De Lavar 11kg Midea Heathguard Branca Conectada,2024-11-25T22:03:51.093240
https://www.magazineluiza.com.br/ipad-pro-apple-12-9-2tb-m2-wi-fi-camera-12mp-ipados-16-cinza-espacial-mnxy3bz-a/p/eg691jck41/tb/apip/,"iPad Pro Apple 12.9"", 2TB, M2, Wi-Fi, Câmera 12MP, iPadOS 16, Cinza Espacial - MNXY3BZ/A",,8163.86,"{'total_amount': 9277.11, 'amount_per_installment': 927.71}","iPad Pro Apple 12.9"", 2TB, M2, Wi-Fi, Câmera 12MP, iPadOS 16, Cinza Espacial - MNXY3BZ/A",2024-11-25T22:03:51.093240
https://www.magazineluiza.com.br/ipad-9a-geracao-apple-10-2-256gb-a13-bionic-wi-fi-camera-8mp-ipados-15-cinza-espacial-mk2n3bz-a/p/fafcg82e1b/tb/apip/,"iPad 9ª geração Apple, 10.2"", 256GB, A13 Bionic, Wi-Fi, Câmera 8MP, iPadOS 15, Cinza-espacial - MK2N3BZ/A",4.9,4138.85,"{'total_amount': 4703.24, 'amount_per_installment': 470.32}","iPad 9ª geração Apple, 10.2"", 256GB, A13 Bionic, Wi-Fi, Câmera 8MP, iPadOS 15, Cinza-espacial - MK2N3BZ/A",2024-11-25T22:03:51.093240
https://www.magazineluiza.com.br/ipad-pro-apple-11-2tb-m2-wi-fi-camera-12mp-ipados-16-cinza-espacial-mnxm3bz-a/p/bcc6cd018a/tb/apip/,"iPad Pro Apple 11"", 2TB, M2, Wi-Fi, Câmera 12MP, iPadOS 16, Cinza Espacial - MNXM3BZ/A",,8163.86,"{'total_amount': 9070.95, 'amount_per_installment': 907.1}","iPad Pro Apple 12.9"", 2TB, M2, Wi-Fi, Câmera 12MP, iPadOS 16, Cinza Espacial - MNXY3BZ/A",2024-11-25T22:03:51.093240
https://www.magazineluiza.com.br/ipad-pro-apple-12-9-2tb-m2-wi-fi-cellular-camera-12mp-ipados-16-prateado-mp273bz-a/p/kgce5kc0kc/tb/apip/,"iPad Pro Apple 12.9"", 2TB, M2, Wi-Fi + Cellular, Câmera 12MP, iPadOS 16, Prateado - MP273BZ/A",,8738.85,"{'total_amount': 9930.51, 'amount_per_installment': 993.05}","iPad Pro Apple 12.9"", 2TB, M2, Wi-Fi + Cellular, Câmera 12MP, iPadOS 16, Prateado - MP273BZ/A",2024-11-25T22:03:51.093240
